"","x"
"34683_at",5.6894052770697e-05
"38840_s_at",8.40005333931514e-05
"38221_at",9.01541995611094e-05
"38839_at",0.000152751512099276
"32607_at",0.000153117655809313
"31377_r_at",0.000239550730044459
"33662_at",0.000278560021620919
"41172_at",0.000352722657885311
"33809_at",0.000389335930565355
"33672_f_at",0.000599156266081903
"40131_at",0.00109627709681898
"41872_at",0.00111040369546549
"39028_at",0.00186285365596007
"36559_g_at",0.00213035325319006
"39298_at",0.00223936303319588
"35291_at",0.00281597721522282
"33713_at",0.00289783971254663
"35196_at",0.00308906987322308
"31578_at",0.00314468408213171
"33582_s_at",0.00322668259748882
"33741_at",0.00326538646659578
"35895_at",0.00413237416958825
"32434_at",0.00488520409177956
"37086_at",0.00496035496662292
"41757_at",0.00568816495148543
"32672_at",0.00706117497567458
"38673_s_at",0.00913392470733111
"41044_at",0.0167199588612392
"31989_s_at",0.0227565480013969
"37439_at",0.0234871879674544
