"","probe","mean diff","Type"
"1","41172_at",1.37583096774194,"UP"
"2","33713_at",1.13338451612903,"UP"
"3","34683_at",1.1249,"UP"
"4","33809_at",1.04085225806452,"UP"
"5","38840_s_at",0.945387741935484,"UP"
"6","41757_at",0.844832258064516,"UP"
"7","38839_at",0.754165806451613,"UP"
"8","41872_at",0.682534193548387,"UP"
"9","32607_at",0.659729032258064,"UP"
"10","35291_at",0.60548,"UP"
"11","38673_s_at",0.569187741935484,"UP"
"12","32672_at",0.491253548387097,"UP"
"13","32434_at",0.379901935483871,"UP"
"14","39028_at",0.36474,"UP"
"15","33741_at",0.347741935483871,"UP"
"16","37439_at",-0.262806451612903,"DOWN"
"17","31989_s_at",-0.266790322580645,"DOWN"
"18","38221_at",-0.284803870967742,"DOWN"
"19","41044_at",-0.296172258064516,"DOWN"
"20","35196_at",-0.475445161290323,"DOWN"
"21","37086_at",-0.508723225806452,"DOWN"
"22","33582_s_at",-0.519327741935484,"DOWN"
"23","35895_at",-0.596927741935484,"DOWN"
"24","31578_at",-0.617355483870968,"DOWN"
"25","36559_g_at",-0.632487096774194,"DOWN"
"26","40131_at",-0.660169677419355,"DOWN"
"27","33672_f_at",-0.83886064516129,"DOWN"
"28","31377_r_at",-0.863227741935484,"DOWN"
"29","39298_at",-0.950069677419355,"DOWN"
"30","33662_at",-1.16401548387097,"DOWN"
